about	About	0	0	More information about WCode
about_me	About Me	0	1	Web links of the creator of WCode - Ujjwal Singh
about_site	About Site	0	0	Details of technology used to build the website
changelog	ChangeLog	0	0	Log of changes across versions
faq	FAQ	0	0	Frequently Asked Question about WCode
feedback	Feedback	0	0	Links to provide feedback regarding WCode
license	License	1	0	Licenses to various intellectual properties related to the WCode project
logo	Logo	0	0	Logo of WCode
roadmap	Roadmap	0	0	Future roadmap of features and implementations
timeline	Timeline	0	0	Markable events in project WCode's lifetime
root	UjNotes	1	0	Ujjwal Singh's notes
